تاریخ,مبلغ
20150602,-335.0
20150602,-13.0918
20150601,-63.65
20150601,-0.067
20150529,-67.0
20150528,1226.636
20150527,-7.6983
20150526,-7.5844
20150526,-103.5954
20150526,-6.7
20150521,-46.9
20150518,-27.2958
20150515,-40.2
20150512,-40.1933
20150511,-10.7133
20150511,-20.0665
20150511,-29.48
20150511,-62.712
20150508,22.0095
20150508,-11.8121
20150508,-50.25
20150507,-20.0933
20150506,-18.3915
20150505,-63.65
20150504,-19.2558
20150504,-28.81
20150504,-20.0665
20150504,-0.067
20150430,-314.9
20150429,1109.6339
20150427,-113.8263
20150427,-10.7133
20150423,-342.9864
20150420,-6.8541
20150420,-1273.0
20150415,-119.8429
20150410,-8.6765
20150409,-33.5
20150408,-18.2039
20150407,-21.8487
20150407,-19.7583
20150407,-281.4
20150401,-13.0315
20150401,-63.65
20150401,0.0
20150401,-8.308
20150331,8.375
20150330,232.49
20150330,617.9946
20150330,-4.757
20150327,-9.2661
20150326,-12.06
20150325,-33.969
20150325,-25.125
20150324,-19.9459
20150323,-33.5
20150320,-125.357
20150319,-33.5
20150319,-14.07
20150316,-119.8429
20150316,-67.0
20150312,-33.5
20150310,-16.0733
20150310,-17.353
20150310,-27.4432
20150309,-25.3595
20150309,-6.8273
20150309,-40.7829
20150305,-26.7665
20150303,-63.65
20150302,-20.0933
20150302,-10.3716
20150302,-19.2893
20150302,-33.5
20150302,-8.375
20150227,-30.15
20150227,-67.0
20150226,-33.5
20150226,617.9946
20150226,-294.8
20150224,-18.6193
20150224,-26.7665
20150223,-8.7569
20150223,-61.2514
20150223,-67.0
20150220,-45.5801
20150218,-14.4318
20150217,-67.0
20150216,-33.5
20150216,-14.6663
20150216,-119.8429
20150213,-163.48
20150210,-28.6425
20150210,-7.2494
20150209,-50.25
20150209,-22.8604
20150209,-25.46
20150206,-63.65
20150205,-29.6676
20150203,-16.3346
20150202,-19.2223
20150202,-33.5
20150202,-7.705
20150129,617.9946
20150123,53.6
20150123,-9.3264
20150123,-16.7165
20150122,-33.5
20150122,-6.03
20150122,-376.3256
20150119,-7.0283
20150115,-118.4627
20150114,19.4434
20150114,-15.8053
20150114,274.7
20150109,20.1
20150109,92.46
20150109,-30.9808
20150107,-17.286
20150105,-17.42
20150105,-63.65
20150105,-137.2026
20150102,-10.318
20150102,-8.2209
20150102,-53.6
20141230,0.0
20141230,-7.303
20141230,-12.395
20141230,-20.1
20141229,-14.2375
20141229,-261.3
20141223,-26.4851
20141222,616.9695
20141222,-14.74
20141222,-33.5
20141219,-14.7333
20141217,-2.9145
20141217,-18.425
20141215,-118.4627
20141212,-7.6715
20141210,-7.7385
20141210,-6.6665
20141205,-22.11
20141205,-20.0933
20141203,-281.4
20141202,-1373.5
20141202,-2613.0
20141202,5862.5
20141202,-63.65
20141202,-53.6
20141201,-5.226
20141128,31.5369
20141127,616.9695
20141126,-11.9796
20141121,-13.9561
20141117,-118.4627
20141114,-13.4
20141113,-67.0
20141112,-8.9579
20141112,-9.6748
20141111,-3.3098
20141111,-3.283
20141110,-9.1053
20141110,-33.5
20141105,-20.0933
20141103,-5.762
20141030,616.9695
20141030,-59.63
20141029,-274.7
20141028,-6.5928
20141027,-12.06
20141023,-13.7283
20141022,-245.4813
20141015,-118.4627
20141010,115.6688
20141010,-13.7484
20141009,-53.0305
20141007,-20.0933
20141006,-63.65
20141006,-26.2841
20141006,-3.7989
20141002,-26.8
20141001,0.0
20141001,-0.067
20140929,616.9695
20140929,-10.519
20140926,-50.25
20140925,-360.393
20140923,-26.8
20140922,-33.5
20140922,-13.9561
20140919,-318.183
20140910,-6.8608
20140904,-5.695
20140903,368.5
20140903,-6.7
20140901,-20.1
20140901,-0.067
20140829,-16.013
20140828,616.9695
20140827,-301.5
20140826,-379.22
20140825,-21.4735
20140822,-7.37
20140821,-7.37
20140818,-33.5
20140815,-9.3733
20140812,-18.425
20140811,-33.5
20140811,-10.586
20140811,-10.72
20140811,-20.1
20140808,-13.333
20140804,-63.65
20140804,-14.405
20140804,-30.1366
20140804,-261.3
20140801,-163.48
20140801,-0.134
20140731,-17.42
20140730,616.9695
20140730,33.4933
20140730,-33.5
20140730,-703.5
20140729,-1.7755
20140728,-0.6633
20140728,-11.926
20140725,1407.0
20140725,-1.3668
20140724,-8.107
20140721,-6.0233
20140721,-40.1665
20140721,-6.2243
20140716,16.7433
20140714,-14.5524
20140710,-12.5022
20140709,-57.2649
20140708,-9.3733
20140707,-18.09
20140704,-160.8
20140703,-6.0434
20140703,-0.5963
20140702,-62.98
20140701,0.0
20140701,-301.5
20140627,616.9695
20140627,-6.9546
20140625,-6.7
20140625,-23.0078
20140624,-9.045
20140624,-338.2093
20140624,-2.0033
20140618,-27.7112
20140618,-23.4098
20140617,-4.4488
20140617,-4.4488
20140616,-12.8037
20140616,-33.5
20140616,-23.45
20140613,-146.6295
20140611,-36.85
20140610,-10.0433
20140610,-29.48
20140610,-16.7433
20140610,-6.8005
20140606,-4.4555
20140605,6.03
20140605,-33.5
20140604,182.2735
20140603,-20.636
